order_id,product_code,quantity_tons,destination_city,due_days,priority_class
1,HR-COIL,447.0,Mumbai,13,High
2,CR-SHEET,409.38,Delhi,4,High
3,PLATE-H,188.51,Kolkata,14,High
4,PLATE-M,245.27,Chennai,11,Medium
5,SLAB-A,473.86,Hyderabad,10,Medium
6,SLAB-B,85.52,Pune,8,Low
7,BILLET-S,298.14,Ahmedabad,14,High
8,BILLET-H,343.96,Surat,5,Low
9,TMT-12,285.12,Jaipur,8,High
10,TMT-16,61.5,Lucknow,12,High
11,TMT-20,252.18,Kanpur,4,Medium
12,WIRE-ROD,422.13,Nagpur,12,Low
13,STRUCT-A,473.88,Visakhapatnam,8,Low
14,PIG-IRON,469.27,Bhopal,5,Low
15,HR-COIL,287.04,Patna,6,Low
16,CR-SHEET,58.23,Ludhiana,6,Low
17,PLATE-H,356.49,Agra,11,Medium
18,PLATE-M,437.08,Vadodara,4,High
19,SLAB-A,482.01,Nashik,5,High
20,SLAB-B,297.72,Faridabad,4,High
21,BILLET-S,485.44,Meerut,2,Medium
22,BILLET-H,362.69,Rajkot,1,Medium
23,TMT-12,67.11,Coimbatore,11,High
24,TMT-16,100.12,Jabalpur,9,Low
25,TMT-20,132.19,Gwalior,14,Low
26,WIRE-ROD,276.94,Vijayawada,12,Medium
27,STRUCT-A,347.74,Jodhpur,11,Medium
28,PIG-IRON,406.3,Madurai,8,Low
29,HR-COIL,184.98,Raipur,3,Medium
30,CR-SHEET,161.16,Kota,14,Medium
31,PLATE-H,254.86,Ranchi,6,High
32,PLATE-M,411.13,Howrah,11,High
33,SLAB-A,60.16,Dhanbad,6,High
34,SLAB-B,212.72,Jamshedpur,7,High
35,BILLET-S,212.87,Bhilai,8,High
36,BILLET-H,286.05,Durgapur,14,High
37,TMT-12,84.64,Rourkela,1,Low
38,TMT-16,234.72,Bokaro,10,Low
39,TMT-20,494.55,Allahabad,8,High
40,WIRE-ROD,167.13,Varanasi,1,Medium
41,STRUCT-A,339.26,Mumbai,3,High
42,PIG-IRON,358.7,Delhi,11,Low
43,HR-COIL,320.47,Kolkata,3,Low
44,CR-SHEET,186.05,Chennai,12,Medium
45,PLATE-H,278.9,Hyderabad,13,High
46,PLATE-M,265.44,Pune,7,Low
47,SLAB-A,56.51,Ahmedabad,4,Medium
48,SLAB-B,194.64,Surat,3,Low
49,BILLET-S,257.12,Jaipur,6,Low
50,BILLET-H,103.85,Lucknow,13,Low
51,TMT-12,270.94,Kanpur,5,High
52,TMT-16,496.46,Nagpur,6,High
53,TMT-20,255.59,Visakhapatnam,13,High
54,WIRE-ROD,207.32,Bhopal,2,Medium
55,STRUCT-A,378.04,Patna,14,Medium
56,PIG-IRON,111.1,Ludhiana,10,High
57,HR-COIL,160.81,Agra,9,Medium
58,CR-SHEET,421.35,Vadodara,3,High
59,PLATE-H,65.9,Nashik,8,Low
60,PLATE-M,124.39,Faridabad,7,Low
61,SLAB-A,144.5,Meerut,2,Low
62,SLAB-B,67.49,Rajkot,9,Low
63,BILLET-S,109.06,Coimbatore,1,Medium
64,BILLET-H,137.76,Jabalpur,10,Low
65,TMT-12,411.19,Gwalior,1,Medium
66,TMT-16,466.41,Vijayawada,10,High
67,TMT-20,213.46,Jodhpur,14,Low
68,WIRE-ROD,393.43,Madurai,11,Medium
69,STRUCT-A,403.23,Raipur,4,High
70,PIG-IRON,376.01,Kota,10,High
71,HR-COIL,435.47,Ranchi,8,Low
72,CR-SHEET,405.06,Howrah,7,High
73,PLATE-H,171.49,Dhanbad,12,Medium
74,PLATE-M,95.73,Jamshedpur,13,High
75,SLAB-A,239.66,Bhilai,4,Low
76,SLAB-B,96.31,Durgapur,9,Medium
77,BILLET-S,354.09,Rourkela,14,High
78,BILLET-H,156.8,Bokaro,5,High
79,TMT-12,163.49,Allahabad,9,Medium
80,TMT-16,197.79,Varanasi,2,Low
81,TMT-20,198.86,Mumbai,12,High
82,WIRE-ROD,320.12,Delhi,7,High
83,STRUCT-A,176.05,Kolkata,2,High
84,PIG-IRON,60.64,Chennai,3,High
85,HR-COIL,420.36,Hyderabad,12,High
86,CR-SHEET,190.96,Pune,9,Low
87,PLATE-H,453.33,Ahmedabad,13,High
88,PLATE-M,445.88,Surat,11,High
89,SLAB-A,130.38,Jaipur,13,Low
90,SLAB-B,305.6,Lucknow,8,Low
91,BILLET-S,379.04,Kanpur,6,Medium
92,BILLET-H,116.31,Nagpur,6,Low
93,TMT-12,414.21,Visakhapatnam,9,Low
94,TMT-16,117.47,Bhopal,4,Medium
95,TMT-20,132.91,Patna,2,Low
96,WIRE-ROD,146.26,Ludhiana,5,High
97,STRUCT-A,80.4,Agra,6,High
98,PIG-IRON,341.76,Vadodara,7,Low
99,HR-COIL,398.3,Nashik,8,Medium
100,CR-SHEET,127.4,Faridabad,1,High
101,PLATE-H,335.44,Meerut,7,High
102,PLATE-M,319.33,Rajkot,10,High
103,SLAB-A,367.87,Coimbatore,11,High
104,SLAB-B,157.5,Jabalpur,8,Medium
105,BILLET-S,134.92,Gwalior,5,Low
106,BILLET-H,157.52,Vijayawada,5,Low
107,TMT-12,155.58,Jodhpur,6,Low
108,TMT-16,244.09,Madurai,11,Medium
109,TMT-20,440.39,Raipur,4,Medium
110,WIRE-ROD,205.02,Kota,4,Low
111,STRUCT-A,483.26,Ranchi,7,High
112,PIG-IRON,113.61,Howrah,12,Low
113,HR-COIL,148.02,Dhanbad,14,Medium
114,CR-SHEET,102.73,Jamshedpur,10,Medium
115,PLATE-H,362.92,Bhilai,1,Medium
116,PLATE-M,182.81,Durgapur,7,Medium
117,SLAB-A,263.63,Rourkela,8,High
118,SLAB-B,328.31,Bokaro,8,High
119,BILLET-S,300.82,Allahabad,4,High
120,BILLET-H,460.82,Varanasi,6,High
121,TMT-12,422.35,Mumbai,8,Medium
122,TMT-16,463.49,Delhi,2,Low
123,TMT-20,306.3,Kolkata,11,Medium
124,WIRE-ROD,176.44,Chennai,14,Medium
125,STRUCT-A,446.92,Hyderabad,14,Low
126,PIG-IRON,470.03,Pune,1,Medium
127,HR-COIL,339.03,Ahmedabad,12,High
128,CR-SHEET,54.0,Surat,7,Low
129,PLATE-H,363.2,Jaipur,10,Medium
130,PLATE-M,184.65,Lucknow,2,Medium
131,SLAB-A,226.37,Kanpur,14,High
132,SLAB-B,458.88,Nagpur,4,High
133,BILLET-S,392.42,Visakhapatnam,7,High
134,BILLET-H,462.93,Bhopal,6,High
135,TMT-12,179.98,Patna,6,High
136,TMT-16,99.92,Ludhiana,5,High
137,TMT-20,188.42,Agra,2,Medium
138,WIRE-ROD,226.84,Vadodara,7,High
139,STRUCT-A,404.01,Nashik,2,Medium
140,PIG-IRON,64.98,Faridabad,3,Medium
141,HR-COIL,265.18,Meerut,12,Low
142,CR-SHEET,318.28,Rajkot,4,High
143,PLATE-H,194.76,Coimbatore,10,High
144,PLATE-M,418.33,Jabalpur,8,Medium
145,SLAB-A,260.02,Gwalior,10,Low
146,SLAB-B,91.88,Vijayawada,13,Low
147,BILLET-S,241.02,Jodhpur,4,High
148,BILLET-H,150.14,Madurai,14,High
149,TMT-12,300.49,Raipur,9,Low
150,TMT-16,372.49,Kota,3,High
151,TMT-20,252.09,Ranchi,11,High
152,WIRE-ROD,273.95,Howrah,1,High
153,STRUCT-A,119.87,Dhanbad,7,High
154,PIG-IRON,482.01,Jamshedpur,9,Medium
155,HR-COIL,481.32,Bhilai,13,Medium
156,CR-SHEET,92.14,Durgapur,3,Medium
157,PLATE-H,61.64,Rourkela,11,High
158,PLATE-M,115.62,Bokaro,11,Medium
159,SLAB-A,354.13,Allahabad,7,Medium
160,SLAB-B,215.49,Varanasi,4,Low
161,BILLET-S,284.95,Mumbai,2,Low
162,BILLET-H,98.39,Delhi,11,Medium
163,TMT-12,439.62,Kolkata,4,Medium
164,TMT-16,325.49,Chennai,3,Medium
165,TMT-20,127.03,Hyderabad,2,Medium
166,WIRE-ROD,498.89,Pune,6,Low
167,STRUCT-A,66.29,Ahmedabad,7,High
168,PIG-IRON,389.13,Surat,11,High
169,HR-COIL,389.4,Jaipur,14,High
170,CR-SHEET,166.32,Lucknow,14,High
171,PLATE-H,160.38,Kanpur,7,High
172,PLATE-M,251.12,Nagpur,8,High
173,SLAB-A,331.63,Visakhapatnam,5,Low
174,SLAB-B,221.36,Bhopal,1,Low
175,BILLET-S,384.78,Patna,2,Low
176,BILLET-H,489.97,Ludhiana,11,Medium
177,TMT-12,72.07,Agra,5,Low
178,TMT-16,225.64,Vadodara,12,High
179,TMT-20,459.2,Nashik,1,Low
180,WIRE-ROD,404.49,Faridabad,4,Medium
181,STRUCT-A,63.03,Meerut,14,High
182,PIG-IRON,214.01,Rajkot,7,High
183,HR-COIL,204.29,Coimbatore,9,High
184,CR-SHEET,292.67,Jabalpur,3,High
185,PLATE-H,493.17,Gwalior,13,High
186,PLATE-M,371.5,Vijayawada,6,Medium
187,SLAB-A,442.62,Jodhpur,7,High
188,SLAB-B,320.39,Madurai,2,Medium
189,BILLET-S,191.08,Raipur,1,High
190,BILLET-H,129.84,Kota,7,High
191,TMT-12,302.24,Ranchi,7,Low
192,TMT-16,366.53,Howrah,2,Medium
193,TMT-20,95.62,Dhanbad,2,Medium
194,WIRE-ROD,215.78,Jamshedpur,5,Medium
195,STRUCT-A,259.43,Bhilai,4,Low
196,PIG-IRON,152.07,Durgapur,13,High
197,HR-COIL,127.27,Rourkela,8,Medium
198,CR-SHEET,92.98,Bokaro,14,High
199,PLATE-H,355.19,Allahabad,11,Medium
200,PLATE-M,73.12,Varanasi,14,Low
201,SLAB-A,220.3,Mumbai,9,High
202,SLAB-B,296.72,Delhi,6,High
203,BILLET-S,51.9,Kolkata,9,High
204,BILLET-H,229.83,Chennai,1,Medium
205,TMT-12,399.51,Hyderabad,12,Medium
206,TMT-16,189.76,Pune,4,High
207,TMT-20,81.45,Ahmedabad,14,Low
208,WIRE-ROD,393.36,Surat,8,Low
209,STRUCT-A,394.27,Jaipur,4,High
210,PIG-IRON,485.91,Lucknow,2,Low
211,HR-COIL,128.6,Kanpur,9,High
212,CR-SHEET,271.06,Nagpur,6,Low
213,PLATE-H,449.01,Visakhapatnam,13,Low
214,PLATE-M,430.18,Bhopal,5,Medium
215,SLAB-A,351.29,Patna,8,Low
216,SLAB-B,349.14,Ludhiana,14,High
217,BILLET-S,369.32,Agra,10,High
218,BILLET-H,340.7,Vadodara,6,High
219,TMT-12,482.86,Nashik,5,High
220,TMT-16,287.48,Faridabad,7,High
221,TMT-20,305.87,Meerut,14,High
222,WIRE-ROD,248.27,Rajkot,8,Medium
223,STRUCT-A,142.77,Coimbatore,10,Low
224,PIG-IRON,175.74,Jabalpur,3,High
225,HR-COIL,303.38,Gwalior,11,Low
226,CR-SHEET,177.17,Vijayawada,7,High
227,PLATE-H,206.55,Jodhpur,8,Low
228,PLATE-M,289.68,Madurai,7,Medium
229,SLAB-A,314.06,Raipur,2,Medium
230,SLAB-B,120.77,Kota,2,High
231,BILLET-S,329.39,Ranchi,14,High
232,BILLET-H,58.72,Howrah,14,High
233,TMT-12,296.26,Dhanbad,2,High
234,TMT-16,210.99,Jamshedpur,14,High
235,TMT-20,163.48,Bhilai,14,High
236,WIRE-ROD,228.5,Durgapur,11,Low
237,STRUCT-A,86.95,Rourkela,14,Medium
238,PIG-IRON,145.48,Bokaro,11,Medium
239,HR-COIL,143.02,Allahabad,10,High
240,CR-SHEET,375.38,Varanasi,10,Medium
241,PLATE-H,162.63,Mumbai,2,High
242,PLATE-M,212.26,Delhi,12,Medium
243,SLAB-A,332.39,Kolkata,5,High
244,SLAB-B,279.03,Chennai,14,Medium
245,BILLET-S,293.67,Hyderabad,2,Medium
246,BILLET-H,209.69,Pune,2,High
247,TMT-12,89.88,Ahmedabad,13,Low
248,TMT-16,319.0,Surat,7,Medium
249,TMT-20,286.28,Jaipur,4,Low
250,WIRE-ROD,96.39,Lucknow,3,High
251,STRUCT-A,337.81,Kanpur,3,High
252,PIG-IRON,75.8,Nagpur,3,High
253,HR-COIL,160.59,Visakhapatnam,9,High
254,CR-SHEET,344.5,Bhopal,10,Medium
255,PLATE-H,299.79,Patna,6,Medium
256,PLATE-M,370.91,Ludhiana,9,High
257,SLAB-A,414.36,Agra,1,Low
258,SLAB-B,111.64,Vadodara,13,High
259,BILLET-S,336.79,Nashik,11,High
260,BILLET-H,377.21,Faridabad,12,Medium
261,TMT-12,360.66,Meerut,8,Low
262,TMT-16,287.62,Rajkot,7,High
263,TMT-20,362.72,Coimbatore,14,High
264,WIRE-ROD,54.58,Jabalpur,3,Low
265,STRUCT-A,125.58,Gwalior,1,Low
266,PIG-IRON,365.32,Vijayawada,11,Medium
267,HR-COIL,347.54,Jodhpur,4,Medium
268,CR-SHEET,340.16,Madurai,11,Medium
269,PLATE-H,324.7,Raipur,1,High
270,PLATE-M,95.41,Kota,13,High
271,SLAB-A,275.3,Ranchi,13,High
272,SLAB-B,123.37,Howrah,13,High
273,BILLET-S,241.53,Dhanbad,10,High
274,BILLET-H,391.78,Jamshedpur,9,Low
275,TMT-12,383.32,Bhilai,4,Medium
276,TMT-16,175.5,Durgapur,12,Medium
277,TMT-20,230.93,Rourkela,14,Medium
278,WIRE-ROD,232.71,Bokaro,7,Low
279,STRUCT-A,180.46,Allahabad,9,High
280,PIG-IRON,92.89,Varanasi,11,High
281,HR-COIL,381.12,Mumbai,3,High
282,CR-SHEET,241.14,Delhi,12,High
283,PLATE-H,101.88,Kolkata,3,High
284,PLATE-M,389.82,Chennai,5,High
285,SLAB-A,415.95,Hyderabad,13,High
286,SLAB-B,269.51,Pune,10,Low
287,BILLET-S,53.58,Ahmedabad,4,High
288,BILLET-H,322.62,Surat,1,Medium
289,TMT-12,323.23,Jaipur,12,Medium
290,TMT-16,129.3,Lucknow,12,Medium
291,TMT-20,131.19,Kanpur,2,Low
292,WIRE-ROD,309.29,Nagpur,7,High
293,STRUCT-A,349.16,Visakhapatnam,10,Low
294,PIG-IRON,451.28,Bhopal,4,High
295,HR-COIL,247.29,Patna,5,Medium
296,CR-SHEET,447.14,Ludhiana,11,Medium
297,PLATE-H,253.69,Agra,1,Low
298,PLATE-M,88.28,Vadodara,6,Medium
299,SLAB-A,295.07,Nashik,6,High
300,SLAB-B,362.0,Faridabad,4,High
301,BILLET-S,347.37,Meerut,12,High
302,BILLET-H,219.0,Rajkot,7,High
303,TMT-12,104.38,Coimbatore,4,High
304,TMT-16,57.94,Jabalpur,3,Medium
305,TMT-20,71.86,Gwalior,5,Medium
306,WIRE-ROD,440.83,Vijayawada,4,High
307,STRUCT-A,395.49,Jodhpur,10,High
308,PIG-IRON,485.12,Madurai,10,Medium
309,HR-COIL,229.8,Raipur,3,High
310,CR-SHEET,251.94,Kota,10,High
311,PLATE-H,273.28,Ranchi,6,Medium
312,PLATE-M,369.46,Howrah,3,Low
313,SLAB-A,126.68,Dhanbad,10,High
314,SLAB-B,145.46,Jamshedpur,7,High
315,BILLET-S,298.89,Bhilai,3,High
316,BILLET-H,164.34,Durgapur,1,Medium
317,TMT-12,97.6,Rourkela,10,Low
318,TMT-16,275.15,Bokaro,5,Low
319,TMT-20,466.64,Allahabad,3,High
320,WIRE-ROD,124.78,Varanasi,5,High
321,STRUCT-A,345.49,Mumbai,13,High
322,PIG-IRON,437.88,Delhi,3,High
323,HR-COIL,105.19,Kolkata,3,Medium
324,CR-SHEET,386.74,Chennai,9,Low
325,PLATE-H,308.63,Hyderabad,11,Low
326,PLATE-M,421.32,Pune,5,High
327,SLAB-A,464.43,Ahmedabad,10,High
328,SLAB-B,319.62,Surat,13,High
329,BILLET-S,193.49,Jaipur,10,High
330,BILLET-H,163.71,Lucknow,14,Medium
331,TMT-12,235.79,Kanpur,5,High
332,TMT-16,317.66,Nagpur,10,High
333,TMT-20,349.03,Visakhapatnam,1,High
334,WIRE-ROD,356.34,Bhopal,11,High
335,STRUCT-A,181.12,Patna,7,High
336,PIG-IRON,456.42,Ludhiana,6,Low
337,HR-COIL,188.91,Agra,4,Low
338,CR-SHEET,296.99,Vadodara,1,High
339,PLATE-H,268.91,Nashik,1,High
340,PLATE-M,250.86,Faridabad,3,Low
341,SLAB-A,114.39,Meerut,5,Medium
342,SLAB-B,329.17,Rajkot,2,High
343,BILLET-S,92.33,Coimbatore,3,Medium
344,BILLET-H,369.27,Jabalpur,14,Medium
345,TMT-12,176.47,Gwalior,12,Low
346,TMT-16,481.53,Vijayawada,14,High
347,TMT-20,200.69,Jodhpur,12,Low
348,WIRE-ROD,210.18,Madurai,7,Low
349,STRUCT-A,218.03,Raipur,7,High
350,PIG-IRON,66.49,Kota,8,High
351,HR-COIL,490.71,Ranchi,5,High
352,CR-SHEET,69.77,Howrah,2,High
353,PLATE-H,335.79,Dhanbad,3,High
354,PLATE-M,178.14,Jamshedpur,10,Medium
355,SLAB-A,108.14,Bhilai,5,Low
356,SLAB-B,309.59,Durgapur,3,Low
357,BILLET-S,499.76,Rourkela,11,High
358,BILLET-H,291.33,Bokaro,10,Low
359,TMT-12,346.42,Allahabad,1,High
360,TMT-16,482.96,Varanasi,5,Low
361,TMT-20,360.64,Mumbai,10,Low
362,WIRE-ROD,224.64,Delhi,10,Low
363,STRUCT-A,267.83,Kolkata,11,High
364,PIG-IRON,228.37,Chennai,9,Low
365,HR-COIL,286.14,Hyderabad,14,High
366,CR-SHEET,385.51,Pune,8,Medium
367,PLATE-H,371.19,Ahmedabad,8,Medium
368,PLATE-M,345.12,Surat,1,High
369,SLAB-A,123.12,Jaipur,12,High
370,SLAB-B,335.29,Lucknow,3,High
371,BILLET-S,486.69,Kanpur,13,Medium
372,BILLET-H,471.46,Nagpur,11,Medium
373,TMT-12,197.1,Visakhapatnam,12,Medium
374,TMT-16,183.96,Bhopal,5,Medium
375,TMT-20,246.22,Patna,5,Low
376,WIRE-ROD,83.26,Ludhiana,7,High
377,STRUCT-A,123.58,Agra,4,Low
378,PIG-IRON,222.42,Vadodara,10,Low
379,HR-COIL,430.15,Nashik,13,Medium
380,CR-SHEET,212.98,Faridabad,7,High
381,PLATE-H,194.7,Meerut,1,High
382,PLATE-M,75.26,Rajkot,11,High
383,SLAB-A,453.9,Coimbatore,6,High
384,SLAB-B,269.46,Jabalpur,2,High
385,BILLET-S,115.91,Gwalior,12,High
386,BILLET-H,479.06,Vijayawada,1,High
387,TMT-12,116.01,Jodhpur,13,High
388,TMT-16,148.98,Madurai,14,Low
389,TMT-20,170.66,Raipur,10,Low
390,WIRE-ROD,72.12,Kota,12,High
391,STRUCT-A,206.7,Ranchi,1,Low
392,PIG-IRON,187.17,Howrah,10,High
393,HR-COIL,94.59,Dhanbad,7,Medium
394,CR-SHEET,396.22,Jamshedpur,11,Medium
395,PLATE-H,305.79,Bhilai,6,Low
396,PLATE-M,54.18,Durgapur,1,Low
397,SLAB-A,366.81,Rourkela,6,High
398,SLAB-B,364.31,Bokaro,4,High
399,BILLET-S,368.32,Allahabad,12,High
400,BILLET-H,78.47,Varanasi,9,High
401,TMT-12,200.62,Mumbai,6,High
402,TMT-16,129.71,Delhi,9,High
403,TMT-20,51.51,Kolkata,6,High
404,WIRE-ROD,71.32,Chennai,8,Medium
405,STRUCT-A,405.59,Hyderabad,6,Medium
406,PIG-IRON,187.95,Pune,6,Medium
407,HR-COIL,461.33,Ahmedabad,13,Medium
408,CR-SHEET,185.39,Surat,1,High
409,PLATE-H,405.7,Jaipur,6,Low
410,PLATE-M,209.37,Lucknow,12,High
411,SLAB-A,261.11,Kanpur,3,High
412,SLAB-B,247.18,Nagpur,4,High
413,BILLET-S,450.65,Visakhapatnam,14,High
414,BILLET-H,389.37,Bhopal,3,High
415,TMT-12,349.58,Patna,12,High
416,TMT-16,160.25,Ludhiana,13,Low
417,TMT-20,441.11,Agra,9,Low
418,WIRE-ROD,109.45,Vadodara,3,High
419,STRUCT-A,499.57,Nashik,1,High
420,PIG-IRON,488.42,Faridabad,2,High
421,HR-COIL,150.78,Meerut,6,Low
422,CR-SHEET,136.91,Rajkot,11,Low
423,PLATE-H,430.33,Coimbatore,6,Low
424,PLATE-M,321.88,Jabalpur,10,Medium
425,SLAB-A,397.41,Gwalior,14,Medium
426,SLAB-B,427.1,Vijayawada,1,High
427,BILLET-S,422.81,Jodhpur,8,Low
428,BILLET-H,262.24,Madurai,13,Low
429,TMT-12,353.36,Raipur,10,High
430,TMT-16,355.84,Kota,12,Low
431,TMT-20,245.78,Ranchi,2,High
432,WIRE-ROD,100.12,Howrah,12,High
433,STRUCT-A,304.47,Dhanbad,4,High
434,PIG-IRON,326.43,Jamshedpur,7,High
435,HR-COIL,188.7,Bhilai,1,High
436,CR-SHEET,357.44,Durgapur,14,High
437,PLATE-H,341.01,Rourkela,14,Medium
438,PLATE-M,412.23,Bokaro,9,Low
439,SLAB-A,313.13,Allahabad,13,High
440,SLAB-B,341.23,Varanasi,7,Medium
441,BILLET-S,108.48,Mumbai,4,Low
442,BILLET-H,87.6,Delhi,14,High
443,TMT-12,134.52,Kolkata,1,High
444,TMT-16,100.15,Chennai,7,Medium
445,TMT-20,51.77,Hyderabad,11,Medium
446,WIRE-ROD,498.32,Pune,11,Medium
447,STRUCT-A,239.45,Ahmedabad,4,High
448,PIG-IRON,295.15,Surat,5,Low
449,HR-COIL,71.14,Jaipur,1,Medium
450,CR-SHEET,138.93,Lucknow,5,High
451,PLATE-H,128.52,Kanpur,6,High
452,PLATE-M,57.29,Nagpur,10,High
453,SLAB-A,222.75,Visakhapatnam,10,High
454,SLAB-B,307.97,Bhopal,12,Medium
455,BILLET-S,80.06,Patna,11,Medium
456,BILLET-H,488.37,Ludhiana,13,Medium
457,TMT-12,167.65,Agra,1,High
458,TMT-16,336.37,Vadodara,4,Medium
459,TMT-20,247.43,Nashik,4,Low
460,WIRE-ROD,347.22,Faridabad,4,High
461,STRUCT-A,126.97,Meerut,11,Low
462,PIG-IRON,88.14,Rajkot,5,High
463,HR-COIL,402.22,Coimbatore,1,Low
464,CR-SHEET,77.69,Jabalpur,7,Medium
465,PLATE-H,457.91,Gwalior,10,High
466,PLATE-M,245.14,Vijayawada,5,Low
467,SLAB-A,279.17,Jodhpur,14,High
468,SLAB-B,120.68,Madurai,6,Medium
469,BILLET-S,283.33,Raipur,5,High
470,BILLET-H,397.82,Kota,12,High
471,TMT-12,227.34,Ranchi,4,Low
472,TMT-16,467.67,Howrah,3,Low
473,TMT-20,227.32,Dhanbad,1,Medium
474,WIRE-ROD,283.37,Jamshedpur,7,Medium
475,STRUCT-A,243.78,Bhilai,12,Medium
476,PIG-IRON,306.02,Durgapur,4,Low
477,HR-COIL,418.08,Rourkela,8,Low
478,CR-SHEET,89.09,Bokaro,1,High
479,PLATE-H,261.2,Allahabad,11,Medium
480,PLATE-M,112.51,Varanasi,2,High
481,SLAB-A,327.34,Mumbai,9,High
482,SLAB-B,262.63,Delhi,12,High
483,BILLET-S,392.14,Kolkata,1,High
484,BILLET-H,218.01,Chennai,10,High
485,TMT-12,141.99,Hyderabad,14,High
486,TMT-16,220.21,Pune,8,High
487,TMT-20,399.94,Ahmedabad,5,Medium
488,WIRE-ROD,273.49,Surat,8,Medium
489,STRUCT-A,434.8,Jaipur,10,Low
490,PIG-IRON,335.49,Lucknow,12,Medium
491,HR-COIL,451.75,Kanpur,9,Low
492,CR-SHEET,403.75,Nagpur,9,Low
493,PLATE-H,274.07,Visakhapatnam,14,Low
494,PLATE-M,249.99,Bhopal,8,Medium
495,SLAB-A,170.64,Patna,12,High
496,SLAB-B,109.41,Ludhiana,3,Medium
497,BILLET-S,150.4,Agra,10,High
498,BILLET-H,96.17,Vadodara,2,Medium
499,TMT-12,390.67,Nashik,3,Low
500,TMT-16,93.69,Faridabad,1,Medium
