order_id,sales_order_number,customer_id,customer_name,customer_priority_class,product_code,product_category,order_quantity_tons,destination_city,destination_state,order_date,requested_delivery_date,delivery_due_days,penalty_applicable_flag,penalty_cost_per_day,transport_mode_requested,order_status,special_instructions
1,SO-BSP-2026-00001,CUST-0001,Tata Steel Ltd,High,HR-COIL,Flat,1245.2,Mumbai,Maharashtra,2026-03-01,2026-04-02,13,True,223436,Rail,In Process,
2,SO-BSP-2026-00002,CUST-0002,JSW Steel,High,CR-SHEET,Flat,959.7,Delhi,Delhi,2026-03-08,2026-03-24,4,True,108596,Rail,In Process,
3,SO-BSP-2026-00003,CUST-0003,RINL Vizag,High,PLATE-H,Flat,862.1,Kolkata,West Bengal,2026-03-10,2026-04-03,14,True,258912,Rail,In Process,
4,SO-BSP-2026-00004,CUST-0004,JSPL Raigarh,Medium,PLATE-M,Flat,772.2,Chennai,Tamil Nadu,2026-03-01,2026-03-31,11,True,193587,Rail,Pending,
5,SO-BSP-2026-00005,CUST-0005,Essar Steel,Medium,SLAB-A,Semi-Finished,435.9,Hyderabad,Telangana,2026-03-17,2026-03-30,10,True,33101,Rail,In Process,
6,SO-BSP-2026-00006,CUST-0006,SAIL Durgapur,Low,SLAB-B,Semi-Finished,927.4,Pune,Maharashtra,2026-03-10,2026-03-28,8,True,312266,Rail,Dispatched,
7,SO-BSP-2026-00007,CUST-0007,Bhushan Steel,High,BILLET-S,Semi-Finished,1277.1,Ahmedabad,Gujarat,2026-02-21,2026-04-03,14,True,218298,Rail,Pending,
8,SO-BSP-2026-00008,CUST-0008,Uttam Galva,Low,BILLET-H,Semi-Finished,1299.1,Surat,Gujarat,2026-03-03,2026-03-25,5,True,228359,Rail,Dispatched,
9,SO-BSP-2026-00009,CUST-0009,Rashtriya Ispat Nigam,High,TMT-12,Long,719.0,Jaipur,Rajasthan,2026-03-09,2026-03-28,8,True,38620,Rail,Dispatched,
10,SO-BSP-2026-00010,CUST-0010,Kalyani Steels,High,TMT-16,Long,1003.2,Lucknow,Uttar Pradesh,2026-03-15,2026-04-01,12,True,111861,Rail,Pending,
11,SO-BSP-2026-00011,CUST-0011,Mahindra Steel,Medium,TMT-20,Long,933.0,Kanpur,Uttar Pradesh,2026-03-11,2026-03-24,4,True,90259,Rail,Pending,Priority delivery
12,SO-BSP-2026-00012,CUST-0012,L&T Construction,Low,WIRE-ROD,Long,1375.4,Nagpur,Maharashtra,2026-02-25,2026-04-01,12,True,289389,Rail,Pending,
13,SO-BSP-2026-00013,CUST-0013,Adani Ports,Low,STRUCT-A,Long,742.4,Visakhapatnam,Andhra Pradesh,2026-03-18,2026-03-28,8,True,174000,Rail,In Process,
14,SO-BSP-2026-00014,CUST-0014,GMR Infrastructure,Low,PIG-IRON,Raw,1331.4,Bhopal,Madhya Pradesh,2026-02-21,2026-03-25,5,True,243585,Rail,Pending,
15,SO-BSP-2026-00015,CUST-0015,Hindustan Zinc,Low,HR-COIL,Flat,963.5,Patna,Bihar,2026-03-15,2026-03-26,6,True,109883,Rail,Pending,
16,SO-BSP-2026-00016,CUST-0016,Vedanta Resources,Low,CR-SHEET,Flat,779.4,Ludhiana,Punjab,2026-02-23,2026-03-26,6,True,57118,Rail,In Process,
17,SO-BSP-2026-00017,CUST-0017,NMDC Ltd,Medium,PLATE-H,Flat,692.6,Agra,Uttar Pradesh,2026-03-11,2026-03-31,11,True,143634,Rail,Dispatched,Night loading OK
18,SO-BSP-2026-00018,CUST-0018,Coal India Ltd,High,PLATE-M,Flat,418.9,Vadodara,Gujarat,2026-03-10,2026-03-24,4,True,28524,Rail,In Process,
19,SO-BSP-2026-00019,CUST-0019,NTPC Ltd,High,SLAB-A,Semi-Finished,844.8,Nashik,Maharashtra,2026-03-08,2026-03-25,5,True,245639,Rail,In Process,
20,SO-BSP-2026-00020,CUST-0020,BHEL Trichy,High,SLAB-B,Semi-Finished,735.6,Faridabad,Haryana,2026-03-19,2026-03-24,4,True,169677,Rail,Pending,Day shift only
21,SO-BSP-2026-00021,CUST-0021,Larsen & Toubro,Medium,BILLET-S,Semi-Finished,1274.4,Meerut,Uttar Pradesh,2026-03-07,2026-03-22,2,True,217078,Rail,Pending,
22,SO-BSP-2026-00022,CUST-0022,Shapoorji Pallonji,Medium,BILLET-H,Semi-Finished,918.7,Rajkot,Gujarat,2026-02-20,2026-03-21,1,True,86124,Rail,In Process,
23,SO-BSP-2026-00023,CUST-0023,Gammon India,High,TMT-12,Long,1461.9,Coimbatore,Tamil Nadu,2026-03-14,2026-03-31,11,True,309920,Rail,Pending,
24,SO-BSP-2026-00024,CUST-0024,Afcons Infrastructure,Low,TMT-16,Long,1393.5,Jabalpur,Madhya Pradesh,2026-03-12,2026-03-29,9,True,274141,Rail,Pending,Night loading OK
25,SO-BSP-2026-00025,CUST-0025,IRB Infrastructure,Low,TMT-20,Long,1292.3,Gwalior,Madhya Pradesh,2026-03-19,2026-04-03,14,True,225228,Rail,Dispatched,
26,SO-BSP-2026-00026,CUST-0026,HCC Ltd,Medium,WIRE-ROD,Long,751.6,Vijayawada,Andhra Pradesh,2026-02-23,2026-04-01,12,True,50641,Rail,Pending,
27,SO-BSP-2026-00027,CUST-0027,NCC Ltd,Medium,STRUCT-A,Long,643.6,Jodhpur,Rajasthan,2026-03-02,2026-03-31,11,True,116584,Rail,In Process,
28,SO-BSP-2026-00028,CUST-0028,Dilip Buildcon,Low,PIG-IRON,Raw,644.7,Madurai,Tamil Nadu,2026-02-24,2026-03-28,8,True,25692,Rail,In Process,
29,SO-BSP-2026-00029,CUST-0029,PNC Infratech,Medium,HR-COIL,Flat,717.2,Raipur,Chhattisgarh,2026-02-22,2026-03-23,3,True,43156,Rail,In Process,Night loading OK
30,SO-BSP-2026-00030,CUST-0030,Ashoka Buildcon,Medium,CR-SHEET,Flat,1167.7,Kota,Rajasthan,2026-03-03,2026-04-03,14,True,188250,Rail,Pending,
31,SO-BSP-2026-00031,CUST-0031,Indian Railways (SCR),High,PLATE-H,Flat,798.6,Ranchi,Jharkhand,2026-02-27,2026-03-26,6,True,211816,Rail,Pending,
32,SO-BSP-2026-00032,CUST-0032,Indian Railways (ECR),High,PLATE-M,Flat,922.8,Howrah,West Bengal,2026-03-05,2026-03-31,11,True,308399,Rail,Pending,
33,SO-BSP-2026-00033,CUST-0033,Indian Railways (WR),High,SLAB-A,Semi-Finished,565.0,Dhanbad,Jharkhand,2026-03-12,2026-03-26,6,True,79076,Rail,In Process,Handle with care
34,SO-BSP-2026-00034,CUST-0034,DRDO Pune,High,SLAB-B,Semi-Finished,589.9,Jamshedpur,Jharkhand,2026-03-11,2026-03-27,7,True,90170,Rail,Pending,
35,SO-BSP-2026-00035,CUST-0035,HAL Bengaluru,High,BILLET-S,Semi-Finished,1020.1,Bhilai,Chhattisgarh,2026-03-15,2026-03-28,8,True,117416,Rail,Pending,
36,SO-BSP-2026-00036,CUST-0036,BEL Hyderabad,High,BILLET-H,Semi-Finished,773.1,Durgapur,West Bengal,2026-03-03,2026-04-03,14,True,49652,Rail,In Process,
37,SO-BSP-2026-00037,CUST-0037,BEML Bengaluru,Low,TMT-12,Long,720.6,Rourkela,Odisha,2026-02-25,2026-03-21,1,True,38923,Rail,Pending,
38,SO-BSP-2026-00038,CUST-0038,Maruti Suzuki,Low,TMT-16,Long,1025.5,Bokaro,Jharkhand,2026-02-22,2026-03-30,10,True,119223,Rail,Pending,Night loading OK
39,SO-BSP-2026-00039,CUST-0039,Tata Motors,High,TMT-20,Long,806.1,Allahabad,Uttar Pradesh,2026-02-28,2026-03-28,8,True,57056,Rail,Pending,Night loading OK
40,SO-BSP-2026-00040,CUST-0040,Mahindra & Mahindra,Medium,WIRE-ROD,Long,1156.4,Varanasi,Uttar Pradesh,2026-02-22,2026-03-21,1,True,183366,Rail,Pending,
41,SO-BSP-2026-00041,CUST-0041,Hero MotoCorp,High,STRUCT-A,Long,627.1,Mumbai,Maharashtra,2026-03-17,2026-03-23,3,True,108112,Rail,Pending,
42,SO-BSP-2026-00042,CUST-0042,Bajaj Auto,Low,PIG-IRON,Raw,1340.2,Delhi,Delhi,2026-02-23,2026-03-31,11,True,247769,Rail,Pending,
43,SO-BSP-2026-00043,CUST-0043,TVS Motor,Low,HR-COIL,Flat,1182.4,Kolkata,West Bengal,2026-03-14,2026-03-23,3,True,194684,Rail,Dispatched,Day shift only
44,SO-BSP-2026-00044,CUST-0044,Ashok Leyland,Medium,CR-SHEET,Flat,851.9,Chennai,Tamil Nadu,2026-03-02,2026-04-01,12,True,75866,Rail,Dispatched,
45,SO-BSP-2026-00045,CUST-0045,Kirloskar Brothers,High,PLATE-H,Flat,847.4,Hyderabad,Telangana,2026-03-05,2026-04-02,13,True,247605,Rail,In Process,
46,SO-BSP-2026-00046,CUST-0046,Thermax Ltd,Low,PLATE-M,Flat,832.1,Pune,Maharashtra,2026-03-01,2026-03-27,7,True,236057,Rail,In Process,
47,SO-BSP-2026-00047,CUST-0047,Cummins India,Medium,SLAB-A,Semi-Finished,599.4,Ahmedabad,Gujarat,2026-03-11,2026-03-24,4,True,94601,Rail,In Process,Priority delivery
48,SO-BSP-2026-00048,CUST-0048,ABB India,Low,SLAB-B,Semi-Finished,544.1,Surat,Gujarat,2026-02-19,2026-03-23,3,True,70310,Rail,Dispatched,Night loading OK
49,SO-BSP-2026-00049,CUST-0049,Siemens India,Low,BILLET-S,Semi-Finished,1207.8,Jaipur,Rajasthan,2026-03-01,2026-03-26,6,True,188041,Rail,Pending,
50,SO-BSP-2026-00050,CUST-0050,Alstom India,Low,BILLET-H,Semi-Finished,729.3,Lucknow,Uttar Pradesh,2026-03-13,2026-04-02,13,True,40608,Rail,Pending,Handle with care
51,SO-BSP-2026-00051,CUST-0051,Tata Steel Ltd Unit-2,High,TMT-12,Long,782.3,Kanpur,Uttar Pradesh,2026-03-03,2026-03-25,5,True,51664,Rail,In Process,Night loading OK
52,SO-BSP-2026-00052,CUST-0052,JSW Steel Unit-2,High,TMT-16,Long,612.6,Nagpur,Maharashtra,2026-03-10,2026-03-26,6,True,20908,Rail,Dispatched,
53,SO-BSP-2026-00053,CUST-0053,RINL Vizag Unit-2,High,TMT-20,Long,1299.9,Visakhapatnam,Andhra Pradesh,2026-02-28,2026-04-02,13,True,228709,Rail,Pending,
54,SO-BSP-2026-00054,CUST-0054,JSPL Raigarh Unit-2,Medium,WIRE-ROD,Long,1152.2,Bhopal,Madhya Pradesh,2026-03-02,2026-03-22,2,True,181562,Rail,Pending,Handle with care
55,SO-BSP-2026-00055,CUST-0055,Essar Steel Unit-2,Medium,STRUCT-A,Long,776.6,Patna,Bihar,2026-02-25,2026-04-03,14,True,196527,Rail,Pending,
56,SO-BSP-2026-00056,CUST-0056,SAIL Durgapur Unit-2,High,PIG-IRON,Raw,1294.4,Ludhiana,Punjab,2026-03-08,2026-03-30,10,True,226182,Rail,Pending,
57,SO-BSP-2026-00057,CUST-0057,Bhushan Steel Unit-2,Medium,HR-COIL,Flat,976.7,Agra,Uttar Pradesh,2026-03-16,2026-03-29,9,True,114320,Rail,In Process,Night loading OK
58,SO-BSP-2026-00058,CUST-0058,Uttam Galva Unit-2,High,CR-SHEET,Flat,1070.3,Vadodara,Gujarat,2026-02-25,2026-03-23,3,True,148253,Rail,Pending,Priority delivery
59,SO-BSP-2026-00059,CUST-0059,Rashtriya Ispat Nigam Unit-2,Low,PLATE-H,Flat,461.3,Nashik,Maharashtra,2026-02-25,2026-03-28,8,True,40611,Rail,Dispatched,Handle with care
60,SO-BSP-2026-00060,CUST-0060,Kalyani Steels Unit-2,Low,PLATE-M,Flat,447.2,Faridabad,Haryana,2026-03-13,2026-03-27,7,True,36357,Rail,In Process,
61,SO-BSP-2026-00061,CUST-0061,Mahindra Steel Unit-2,Low,SLAB-A,Semi-Finished,756.1,Meerut,Uttar Pradesh,2026-03-10,2026-03-22,2,True,182861,Rail,Pending,
62,SO-BSP-2026-00062,CUST-0062,L&T Construction Unit-2,Low,SLAB-B,Semi-Finished,646.0,Rajkot,Gujarat,2026-03-02,2026-03-29,9,True,117861,Rail,In Process,
63,SO-BSP-2026-00063,CUST-0063,Adani Ports Unit-2,Medium,BILLET-S,Semi-Finished,1104.4,Coimbatore,Tamil Nadu,2026-02-25,2026-03-21,1,True,147103,Rail,In Process,Priority delivery
64,SO-BSP-2026-00064,CUST-0064,GMR Infrastructure Unit-2,Low,BILLET-H,Semi-Finished,1280.5,Jabalpur,Madhya Pradesh,2026-03-03,2026-03-30,10,True,219841,Rail,Pending,Priority delivery
65,SO-BSP-2026-00065,CUST-0065,Hindustan Zinc Unit-2,Medium,TMT-12,Long,1165.7,Gwalior,Madhya Pradesh,2026-03-05,2026-03-21,1,True,170757,Rail,Pending,
66,SO-BSP-2026-00066,CUST-0066,Vedanta Resources Unit-2,High,TMT-16,Long,1094.1,Vijayawada,Andhra Pradesh,2026-02-22,2026-03-30,10,True,143309,Rail,In Process,Handle with care
67,SO-BSP-2026-00067,CUST-0067,NMDC Ltd Unit-2,Low,TMT-20,Long,1099.1,Jodhpur,Rajasthan,2026-03-13,2026-04-03,14,True,145138,Rail,Pending,Day shift only
68,SO-BSP-2026-00068,CUST-0068,Coal India Ltd Unit-2,Medium,WIRE-ROD,Long,844.7,Madurai,Tamil Nadu,2026-03-17,2026-03-31,11,True,73893,Rail,Pending,Day shift only
69,SO-BSP-2026-00069,CUST-0069,NTPC Ltd Unit-2,High,STRUCT-A,Long,400.5,Raipur,Chhattisgarh,2026-03-01,2026-03-24,4,True,23930,Rail,Pending,
70,SO-BSP-2026-00070,CUST-0070,BHEL Trichy Unit-2,High,PIG-IRON,Raw,991.1,Kota,Rajasthan,2026-02-23,2026-03-30,10,True,107990,Rail,Pending,
71,SO-BSP-2026-00071,CUST-0071,Larsen & Toubro Unit-2,Low,HR-COIL,Flat,768.6,Ranchi,Jharkhand,2026-02-25,2026-03-28,8,True,54558,Rail,In Process,
72,SO-BSP-2026-00072,CUST-0072,Shapoorji Pallonji Unit-2,High,CR-SHEET,Flat,933.8,Howrah,West Bengal,2026-03-13,2026-03-27,7,True,100211,Rail,Pending,Night loading OK
73,SO-BSP-2026-00073,CUST-0073,Gammon India Unit-2,Medium,PLATE-H,Flat,859.2,Dhanbad,Jharkhand,2026-03-15,2026-04-01,12,True,256671,Rail,In Process,Handle with care
74,SO-BSP-2026-00074,CUST-0074,Afcons Infrastructure Unit-2,High,PLATE-M,Flat,513.8,Jamshedpur,Jharkhand,2026-02-24,2026-04-02,13,True,58500,Rail,Pending,Day shift only
75,SO-BSP-2026-00075,CUST-0075,IRB Infrastructure Unit-2,Low,SLAB-A,Semi-Finished,415.9,Bhilai,Chhattisgarh,2026-02-24,2026-03-24,4,True,27730,Rail,In Process,
76,SO-BSP-2026-00076,CUST-0076,HCC Ltd Unit-2,Medium,SLAB-B,Semi-Finished,540.2,Durgapur,West Bengal,2026-03-12,2026-03-29,9,True,68736,Rail,Pending,
77,SO-BSP-2026-00077,CUST-0077,NCC Ltd Unit-2,High,BILLET-S,Semi-Finished,864.9,Rourkela,Odisha,2026-03-14,2026-04-03,14,True,71504,Rail,Dispatched,
78,SO-BSP-2026-00078,CUST-0078,Dilip Buildcon Unit-2,High,BILLET-H,Semi-Finished,1189.6,Bokaro,Jharkhand,2026-03-11,2026-03-25,5,True,180496,Rail,Dispatched,
79,SO-BSP-2026-00079,CUST-0079,PNC Infratech Unit-2,Medium,TMT-12,Long,1097.2,Allahabad,Uttar Pradesh,2026-02-26,2026-03-29,9,True,144424,Rail,Pending,
80,SO-BSP-2026-00080,CUST-0080,Ashoka Buildcon Unit-2,Low,TMT-16,Long,1297.2,Varanasi,Uttar Pradesh,2026-02-22,2026-03-22,2,True,227480,Rail,In Process,
81,SO-BSP-2026-00081,CUST-0081,Indian Railways (SCR) Unit-2,High,TMT-20,Long,1191.8,Mumbai,Maharashtra,2026-02-26,2026-04-01,12,True,181360,Rail,Pending,
82,SO-BSP-2026-00082,CUST-0082,Indian Railways (ECR) Unit-2,High,WIRE-ROD,Long,932.0,Delhi,Delhi,2026-03-10,2026-03-27,7,True,99632,Rail,In Process,Handle with care
83,SO-BSP-2026-00083,CUST-0083,Indian Railways (WR) Unit-2,High,STRUCT-A,Long,837.2,Kolkata,West Bengal,2026-03-16,2026-03-22,2,True,239905,Rail,In Process,
84,SO-BSP-2026-00084,CUST-0084,DRDO Pune Unit-2,High,PIG-IRON,Raw,753.3,Chennai,Tamil Nadu,2026-03-19,2026-03-23,3,True,45448,Rail,Pending,
85,SO-BSP-2026-00085,CUST-0085,HAL Bengaluru Unit-2,High,HR-COIL,Flat,605.1,Hyderabad,Telangana,2026-02-19,2026-04-01,12,True,22865,Rail,Pending,
86,SO-BSP-2026-00086,CUST-0086,BEL Hyderabad Unit-2,Low,CR-SHEET,Flat,662.5,Pune,Maharashtra,2026-03-04,2026-03-29,9,True,32464,Rail,Pending,
87,SO-BSP-2026-00087,CUST-0087,BEML Bengaluru Unit-2,High,PLATE-H,Flat,786.1,Ahmedabad,Gujarat,2026-03-08,2026-04-02,13,True,203096,Rail,In Process,
88,SO-BSP-2026-00088,CUST-0088,Maruti Suzuki Unit-2,High,PLATE-M,Flat,640.9,Surat,Gujarat,2026-03-02,2026-03-31,11,True,115172,Rail,In Process,
89,SO-BSP-2026-00089,CUST-0089,Tata Motors Unit-2,Low,SLAB-A,Semi-Finished,473.3,Jaipur,Rajasthan,2026-02-20,2026-04-02,13,True,44410,Rail,Pending,
90,SO-BSP-2026-00090,CUST-0090,Mahindra & Mahindra Unit-2,Low,SLAB-B,Semi-Finished,662.7,Lucknow,Uttar Pradesh,2026-02-23,2026-03-28,8,True,126822,Rail,Pending,
91,SO-BSP-2026-00091,CUST-0091,Hero MotoCorp Unit-2,Medium,BILLET-S,Semi-Finished,740.4,Kanpur,Uttar Pradesh,2026-03-14,2026-03-26,6,True,42802,Rail,Pending,Handle with care
92,SO-BSP-2026-00092,CUST-0092,Bajaj Auto Unit-2,Low,BILLET-H,Semi-Finished,1220.0,Nagpur,Maharashtra,2026-02-21,2026-03-26,6,True,193189,Rail,Pending,
93,SO-BSP-2026-00093,CUST-0093,TVS Motor Unit-2,Low,TMT-12,Long,999.4,Visakhapatnam,Andhra Pradesh,2026-03-02,2026-03-29,9,True,110657,Rail,Pending,
94,SO-BSP-2026-00094,CUST-0094,Ashok Leyland Unit-2,Medium,TMT-16,Long,942.0,Bhopal,Madhya Pradesh,2026-03-12,2026-03-24,4,True,92904,Rail,Pending,
95,SO-BSP-2026-00095,CUST-0095,Kirloskar Brothers Unit-2,Low,TMT-20,Long,871.9,Patna,Bihar,2026-02-22,2026-03-22,2,True,73329,Rail,Dispatched,Night loading OK
96,SO-BSP-2026-00096,CUST-0096,Thermax Ltd Unit-2,High,WIRE-ROD,Long,1122.8,Ludhiana,Punjab,2026-02-25,2026-03-25,5,True,169196,Rail,Pending,
97,SO-BSP-2026-00097,CUST-0097,Cummins India Unit-2,High,STRUCT-A,Long,585.1,Agra,Uttar Pradesh,2026-03-06,2026-03-26,6,True,87963,Rail,In Process,
98,SO-BSP-2026-00098,CUST-0098,ABB India Unit-2,Low,PIG-IRON,Raw,683.4,Vadodara,Gujarat,2026-02-25,2026-03-27,7,True,32091,Rail,Pending,Priority delivery
99,SO-BSP-2026-00099,CUST-0099,Siemens India Unit-2,Medium,HR-COIL,Flat,686.3,Nashik,Maharashtra,2026-03-19,2026-03-28,8,True,36931,Rail,Pending,
100,SO-BSP-2026-00100,CUST-0100,Alstom India Unit-2,High,CR-SHEET,Flat,1405.3,Faridabad,Haryana,2026-03-10,2026-03-21,1,True,305754,Rail,In Process,
101,SO-BSP-2026-00101,CUST-0101,Tata Steel Ltd Unit-3,High,PLATE-H,Flat,890.0,Meerut,Uttar Pradesh,2026-03-19,2026-03-27,7,True,281089,Rail,Pending,Handle with care
102,SO-BSP-2026-00102,CUST-0102,JSW Steel Unit-3,High,PLATE-M,Flat,773.5,Rajkot,Gujarat,2026-02-23,2026-03-30,10,True,194471,Rail,Pending,
103,SO-BSP-2026-00103,CUST-0103,RINL Vizag Unit-3,High,SLAB-A,Semi-Finished,531.6,Coimbatore,Tamil Nadu,2026-02-26,2026-03-31,11,True,65300,Rail,Dispatched,Day shift only
104,SO-BSP-2026-00104,CUST-0104,JSPL Raigarh Unit-3,Medium,SLAB-B,Semi-Finished,923.8,Jabalpur,Madhya Pradesh,2026-03-03,2026-03-28,8,True,309184,Rail,Dispatched,Handle with care
105,SO-BSP-2026-00105,CUST-0105,Essar Steel Unit-3,Low,BILLET-S,Semi-Finished,1292.6,Gwalior,Madhya Pradesh,2026-02-21,2026-03-25,5,True,225389,Rail,In Process,Day shift only
106,SO-BSP-2026-00106,CUST-0106,SAIL Durgapur Unit-3,Low,BILLET-H,Semi-Finished,1238.1,Vijayawada,Andhra Pradesh,2026-02-21,2026-03-25,5,True,200990,Rail,Pending,
107,SO-BSP-2026-00107,CUST-0107,Bhushan Steel Unit-3,Low,TMT-12,Long,1002.3,Jodhpur,Rajasthan,2026-03-09,2026-03-26,6,True,111572,Rail,Pending,
108,SO-BSP-2026-00108,CUST-0108,Uttam Galva Unit-3,Medium,TMT-16,Long,846.1,Madurai,Tamil Nadu,2026-02-19,2026-03-31,11,True,66699,Rail,Pending,Night loading OK
109,SO-BSP-2026-00109,CUST-0109,Rashtriya Ispat Nigam Unit-3,Medium,TMT-20,Long,691.1,Raipur,Chhattisgarh,2026-02-26,2026-03-24,4,True,33448,Rail,Dispatched,
110,SO-BSP-2026-00110,CUST-0110,Kalyani Steels Unit-3,Low,WIRE-ROD,Long,1354.8,Kota,Rajasthan,2026-02-28,2026-03-24,4,True,278384,Rail,In Process,
111,SO-BSP-2026-00111,CUST-0111,Mahindra Steel Unit-3,High,STRUCT-A,Long,637.5,Ranchi,Jharkhand,2026-03-08,2026-03-27,7,True,113413,Rail,Pending,
112,SO-BSP-2026-00112,CUST-0112,L&T Construction Unit-3,Low,PIG-IRON,Raw,784.5,Howrah,West Bengal,2026-03-04,2026-04-01,12,True,52141,Rail,Dispatched,
113,SO-BSP-2026-00113,CUST-0113,Adani Ports Unit-3,Medium,HR-COIL,Flat,846.4,Dhanbad,Jharkhand,2026-03-19,2026-04-03,14,True,74360,Rail,Pending,
114,SO-BSP-2026-00114,CUST-0114,GMR Infrastructure Unit-3,Medium,CR-SHEET,Flat,1079.2,Jamshedpur,Jharkhand,2026-03-11,2026-03-30,10,True,151724,Rail,Pending,
115,SO-BSP-2026-00115,CUST-0115,Hindustan Zinc Unit-3,Medium,PLATE-H,Flat,481.9,Bhilai,Chhattisgarh,2026-03-18,2026-03-21,1,True,47255,Rail,Pending,
116,SO-BSP-2026-00116,CUST-0116,Vedanta Resources Unit-3,Medium,PLATE-M,Flat,861.0,Durgapur,West Bengal,2026-03-19,2026-03-27,7,True,258063,Rail,Pending,
117,SO-BSP-2026-00117,CUST-0117,NMDC Ltd Unit-3,High,SLAB-A,Semi-Finished,806.3,Rourkela,Odisha,2026-03-09,2026-03-28,8,True,217249,Rail,Dispatched,
118,SO-BSP-2026-00118,CUST-0118,Coal India Ltd Unit-3,High,SLAB-B,Semi-Finished,784.5,Bokaro,Jharkhand,2026-03-08,2026-03-28,8,True,201976,Rail,Dispatched,
119,SO-BSP-2026-00119,CUST-0119,NTPC Ltd Unit-3,High,BILLET-S,Semi-Finished,987.0,Allahabad,Uttar Pradesh,2026-03-09,2026-03-24,4,True,106692,Rail,Pending,
120,SO-BSP-2026-00120,CUST-0120,BHEL Trichy Unit-3,High,BILLET-H,Semi-Finished,1159.1,Varanasi,Uttar Pradesh,2026-02-25,2026-03-26,6,True,168147,Rail,Pending,Day shift only
121,SO-BSP-2026-00121,CUST-0121,Larsen & Toubro Unit-3,Medium,TMT-12,Long,1121.0,Mumbai,Maharashtra,2026-03-18,2026-03-28,8,True,153348,Rail,Pending,Priority delivery
122,SO-BSP-2026-00122,CUST-0122,Shapoorji Pallonji Unit-3,Low,TMT-16,Long,1179.0,Delhi,Delhi,2026-02-27,2026-03-22,2,True,176142,Rail,Pending,
123,SO-BSP-2026-00123,CUST-0123,Gammon India Unit-3,Medium,TMT-20,Long,680.5,Kolkata,West Bengal,2026-03-01,2026-03-31,11,True,31599,Rail,Pending,
124,SO-BSP-2026-00124,CUST-0124,Afcons Infrastructure Unit-3,Medium,WIRE-ROD,Long,940.0,Chennai,Tamil Nadu,2026-02-21,2026-04-03,14,True,102192,Rail,Pending,Day shift only
125,SO-BSP-2026-00125,CUST-0125,IRB Infrastructure Unit-3,Low,STRUCT-A,Long,406.6,Hyderabad,Telangana,2026-03-14,2026-04-03,14,True,25394,Rail,Pending,Day shift only
126,SO-BSP-2026-00126,CUST-0126,HCC Ltd Unit-3,Medium,PIG-IRON,Raw,1041.6,Pune,Maharashtra,2026-03-16,2026-03-21,1,True,124681,Rail,Pending,
